127.0.0.1 - - [15/Jan/2026:18:57:23 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [15/Jan/2026:18:57:25 +0900] "GET /jspprj/member HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [15/Jan/2026:18:57:25 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [15/Jan/2026:18:57:33 +0900] "GET /jspprj/member HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [15/Jan/2026:18:57:45 +0900] "GET /testProj/member HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:00:34 +0900] "GET /testProj/member HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:00:37 +0900] "GET /testProj/member HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:01:26 +0900] "GET /testProj/member/list HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:01:30 +0900] "GET /testProj/member/list HTTP/1.1" 500 1537
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:01:50 +0900] "GET /testProj/member/list HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:03:20 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:14:41 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:15:57 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:23:42 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 937
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:28:45 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:29:36 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1108
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:29:45 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:29:57 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:30:28 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:30:30 +0900] "GET /testProj/member/MemberDetail?id=test1 HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:30:58 +0900] "GET /testProj/member/MemberDetail?id=test1 HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:32:44 +0900] "GET /testProj/member/MemberDetail?id=test1 HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:33:00 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:33:01 +0900] "GET /testProj/member/MemberDetail?id=test1 HTTP/1.1" 500 1581
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:41:03 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:41:04 +0900] "GET /testProj/member/MemberDetail?id=test1 HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:41:12 +0900] "GET /testProj/member/MemberDetail?id=test1 HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:41:25 +0900] "GET /testProj/member/MemberDetail?id=test1 HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:41:39 +0900] "GET /testProj/member/MemberDetail?id=test1 HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:42:52 +0900] "GET /testProj/member/MemberDetail?id=test1 HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:42:52 +0900] "GET /up/asdf.jpg HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:42:57 +0900] "GET /testProj/member/MemberDetail?id=test1 HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:42:57 +0900] "GET /testProj/member/up/asdf.jpg HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:43:07 +0900] "GET /testProj/member/MemberDetail?id=test1 HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:43:07 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:43:27 +0900] "GET /testProj/member/MemberDetail?id=test1 HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:43:27 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:43:52 +0900] "GET /testProj/member/MemberDetail?id=test3 HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:43:52 +0900] "GET /testProj/up/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EB%8A%94%20%EB%8B%A4%EC%9D%B4%EC%96%B4%EA%B7%B8%EB%9E%A8.drawio.png HTTP/1.1" 404 926
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:44:09 +0900] "GET /testProj/member/MemberDetail?id=test3 HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:44:09 +0900] "GET /testProj/up/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EB%8A%94%20%EB%8B%A4%EC%9D%B4%EC%96%B4%EA%B7%B8%EB%9E%A8.drawio.png HTTP/1.1" 404 926
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:44:10 +0900] "GET /testProj/member/MemberDetail?id=test3 HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:44:10 +0900] "GET /testProj/up/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EB%8A%94%20%EB%8B%A4%EC%9D%B4%EC%96%B4%EA%B7%B8%EB%9E%A8.drawio.png HTTP/1.1" 404 926
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:44:11 +0900] "GET /testProj/member/MemberDetail?id=test3 HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:44:11 +0900] "GET /testProj/up/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EB%8A%94%20%EB%8B%A4%EC%9D%B4%EC%96%B4%EA%B7%B8%EB%9E%A8.drawio.png HTTP/1.1" 404 926
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:44:11 +0900] "GET /testProj/member/MemberDetail?id=test3 HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:44:11 +0900] "GET /testProj/up/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EB%8A%94%20%EB%8B%A4%EC%9D%B4%EC%96%B4%EA%B7%B8%EB%9E%A8.drawio.png HTTP/1.1" 404 926
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:44:11 +0900] "GET /testProj/member/MemberDetail?id=test3 HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:44:11 +0900] "GET /testProj/up/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EB%8A%94%20%EB%8B%A4%EC%9D%B4%EC%96%B4%EA%B7%B8%EB%9E%A8.drawio.png HTTP/1.1" 404 926
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:44:11 +0900] "GET /testProj/member/MemberDetail?id=test3 HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:44:11 +0900] "GET /testProj/up/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EB%8A%94%20%EB%8B%A4%EC%9D%B4%EC%96%B4%EA%B7%B8%EB%9E%A8.drawio.png HTTP/1.1" 404 926
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:44:11 +0900] "GET /testProj/member/MemberDetail?id=test3 HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:44:11 +0900] "GET /testProj/up/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EB%8A%94%20%EB%8B%A4%EC%9D%B4%EC%96%B4%EA%B7%B8%EB%9E%A8.drawio.png HTTP/1.1" 404 926
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:44:11 +0900] "GET /testProj/member/MemberDetail?id=test3 HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:44:11 +0900] "GET /testProj/up/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EB%8A%94%20%EB%8B%A4%EC%9D%B4%EC%96%B4%EA%B7%B8%EB%9E%A8.drawio.png HTTP/1.1" 404 926
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:44:15 +0900] "GET /testProj/member/MemberDetail?id=test3 HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:44:15 +0900] "GET /testProj/up/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EB%8A%94%20%EB%8B%A4%EC%9D%B4%EC%96%B4%EA%B7%B8%EB%9E%A8.drawio.png HTTP/1.1" 404 926
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:44:38 +0900] "GET /testProj/member/MemberDetail?id=test3 HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:44:38 +0900] "GET /testProj/up/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EB%8A%94%20%EB%8B%A4%EC%9D%B4%EC%96%B4%EA%B7%B8%EB%9E%A8.drawio.png HTTP/1.1" 200 61307
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:44:44 +0900] "GET /testProj/member/MemberDetail?id=test3 HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:45:47 +0900] "GET /testProj/member/MemberDetail?id=test3 HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:45:56 +0900] "GET /testProj/member/MemberDetail?id=test3 HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:45:57 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:45:58 +0900] "GET /testProj/member/MemberDetail?id=test1 HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:45:59 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:45:59 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:46:00 +0900] "GET /testProj/member/MemberDetail?id=test3 HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:46:01 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:46:03 +0900] "GET /testProj/member/MemberDetail?id=test1 HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:46:03 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:48:22 +0900] "GET /testProj/member/MemberDetail?id=test1 HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:48:22 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:48:24 +0900] "GET /testProj/member/MemberModify?id=test1 HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:53:20 +0900] "GET /testProj/member/MemberList HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:53:23 +0900] "GET /testProj/member/MemberDetail?id=test1 HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:53:23 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:54:10 +0900] "GET /testProj/member/MemberModify?id=test1 HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:55:14 +0900] "GET /testProj/member/MemberDetail?id=test1 HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:55:14 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:57:49 +0900] "GET /testProj/member/MemberModify?id=test1 HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:58:02 +0900] "GET /testProj/member/MemberModify?id=test1 HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:58:08 +0900] "GET /testProj/member/MemberModify?id=test1 HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:58:09 +0900] "GET /testProj/member/MemberDetail?id=test1 HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:58:10 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:58:11 +0900] "GET /testProj/member/MemberModifyForm?id=test1 HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:58:11 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:59:30 +0900] "GET /testProj/member/MemberModifyForm?id=test1 HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [15/Jan/2026:19:59:30 +0900] "GET /testProj/up/asdf.jpg HTTP/1.1" 404 836
